RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
13465,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1884,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2899,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1414,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1491,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1859,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1836,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2685,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
4475,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
14816,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2129,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2345,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2112,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
7227,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
4830,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2189,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1915,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2600,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2156,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
file,isFamiliar,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_F_sandra_bullock.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
P_M_bill_clinton.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
P_F_hillary_clinton.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
P_M_george_Wbush.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
P_M_donald_trump.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_F_Kate_Winslet.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_F_Judi_Dench.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_F_keira_knightley.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_M_michael_caine.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_F_jennifer_aniston.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_M_robert_de_niro.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
P_M_Tony_Blair.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
P_F_nicola_sturgeon.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
P_F_tehresy_may.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_M_nicolas_cage.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_M_Hugh_Grant.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
P_M_david_cameron.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
P_M_boris_johnson.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_M_tom_hankes.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
E_F_angelina_jolie.jpg,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
age: 25,gender: Male,handedness: right,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
