RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
6502,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3107,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2567,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2087,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3287,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3271,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2499,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2171,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4798,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1970,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2111,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3223,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2379,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3119,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1651,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2506,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1894,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1670,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3767,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4767,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4244,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1782,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4303,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1739,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
