RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3551,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3684,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4707,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4503,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
8432,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
9820,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4810,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3134,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2627,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3785,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
6340,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
6841,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3809,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2921,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5617,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
6778,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4321,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
6036,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
1893,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3054,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5680,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2979,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3096,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2592,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2362,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3135,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
1902,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3869,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3113,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4686,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5741,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4549,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2644,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3394,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
6476,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5088,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2971,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5126,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3129,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3527,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3342,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5062,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3435,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4334,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3372,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4586,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2708,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4146,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3694,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3438,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2483,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
7096,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3259,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
