RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3bef448db265999e0f5adb,26/04/2022 15:19
1868,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3bef448db265999e0f5adb,27/10/2022 15:19
8118,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3bef448db265999e0f5adb,28/10/2022 15:19
1923,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3bef448db265999e0f5adb,29/10/2022 15:19
2534,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f3bef448db265999e0f5adb,30/10/2022 15:19
3256,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f3bef448db265999e0f5adb,31/10/2022 15:19
1791,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3bef448db265999e0f5adb,01/11/2022 15:19
2326,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3bef448db265999e0f5adb,02/11/2022 15:19
file,isFamiliar,5f3bef448db265999e0f5adb,02/11/2022 15:19,,,,,,,
P_F_hillary_clinton.jpg,1,5f3bef448db265999e0f5adb,03/11/2022 15:19,,,,,,,
P_M_george_Wbush.jpg,1,5f3bef448db265999e0f5adb,04/11/2022 15:19,,,,,,,
E_M_Hugh_Grant.jpg,1,5f3bef448db265999e0f5adb,05/11/2022 15:19,,,,,,,
E_F_Kate_Winslet.jpg,1,5f3bef448db265999e0f5adb,06/11/2022 15:19,,,,,,,
E_M_nicolas_cage.jpg,1,5f3bef448db265999e0f5adb,07/11/2022 15:19,,,,,,,
E_F_Judi_Dench.jpg,1,5f3bef448db265999e0f5adb,08/11/2022 15:19,,,,,,,
P_M_donald_trump.jpg,1,5f3bef448db265999e0f5adb,09/11/2022 15:19,,,,,,,
P_M_david_cameron.jpg,1,5f3bef448db265999e0f5adb,10/11/2022 15:19,,,,,,,
E_M_tom_hankes.jpg,1,5f3bef448db265999e0f5adb,11/11/2022 15:19,,,,,,,
