RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2166,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2049,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2850,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2333,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1853,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2148,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2022,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
3067,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2786,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2496,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2055,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1810,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
4893,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1903,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2571,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2673,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
3305,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1993,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1997,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1603,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1920,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
