RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1142,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
5710,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1527,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1109,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
919,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1118,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1718,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1727,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1606,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1151,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1799,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1567,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1727,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1071,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1071,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1039,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2326,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1599,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1982,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2453,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1223,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1166,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
4303,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1806,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1695,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2874,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1273,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1270,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1367,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1263,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1543,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2263,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1335,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1039,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2630,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1679,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1535,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
3622,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2055,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1758,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1878,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
