RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
681,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
949,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1087,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2776,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1327,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2169,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
3649,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1499,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2373,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1955,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
14229,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2359,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2379,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2395,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1649,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
4412,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1248,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1072,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2879,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
5333,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
908,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
781,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
4369,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
700,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
3312,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1979,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
817,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1003,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1393,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
