RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3595,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2548,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3164,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2451,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4058,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2436,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2293,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2752,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3706,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3055,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2842,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
2472,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4353,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3779,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3494,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
6360,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5971,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5370,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3984,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5073,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
9036,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5298,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
5317,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
3377,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
4254,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
file,isFamiliar,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
P_M_Tony_Blair.png,1,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
E_M_Peter_Kay.png,1,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
P_M_david_camer.png,1,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
P_F_Theresa_May.png,1,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
E_F_Julie_Walters.png,0,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
P_M_Gordon_Brown.png,1,62b5d9230e9176dadd257416,"10/13/2022, 07:04:32"
