RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
6379,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3154,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2384,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3306,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2909,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2705,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3010,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2251,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2249,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2123,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2305,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3487,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
4427,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2164,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
6273,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1666,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2360,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
4097,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3130,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
10914,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3120,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3018,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2152,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1999,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
6291,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1698,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
4001,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2624,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2522,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
7789,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1689,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
