RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2148,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
1943,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
1671,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2084,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4169,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3298,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3048,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2545,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2912,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
1921,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3881,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2380,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3115,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2321,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2528,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2065,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2668,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2506,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3154,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2548,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4144,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2058,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2398,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2852,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2249,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2297,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2011,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2285,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3063,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4687,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2866,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3510,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2737,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2914,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3884,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2580,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2601,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3203,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2752,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
1921,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2645,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
1875,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2764,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2556,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2018,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2670,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
4517,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2111,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2282,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
2499,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3091,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
3030,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
file,isFamiliar,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_Tony_Blair.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_Michael_Gove.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Ewan_McGregor.png,0,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Michael_McIntyr.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_F_Sarah_Millican.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_nigel_farage.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Simon_Pegg.png,0,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_F_nicola_sturge.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_F_Dawn_Roma_French.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Peter_Kay.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_Gordon_Brown.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_F_Julie_Walters.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
