RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4896,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3362,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4904,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
9677,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4477,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6703,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3614,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3798,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4733,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3323,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4121,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4748,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4055,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3801,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
2868,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3698,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5159,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4688,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
5190,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4347,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4288,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
2820,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
6192,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3596,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
2912,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3684,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
2298,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
