RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2425,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1700,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1465,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
5767,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
6637,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1555,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1964,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1571,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2586,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1730,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1079,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1655,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1345,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1383,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2202,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
