RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
12343,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2974,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2525,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2198,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
32266,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2325,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1992,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1942,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
8954,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2749,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3171,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4034,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1814,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4274,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
5290,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2157,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2205,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3247,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2485,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4319,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
11735,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4640,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
5011,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4579,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2386,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
21419,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3440,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2340,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2616,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1738,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1860,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2882,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3663,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1951,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1749,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2028,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2816,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2331,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2025,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3102,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3301,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3410,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4044,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
6395,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
7662,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3036,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2247,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2258,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1666,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2418,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1919,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1821,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1537,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2285,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1554,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1716,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4514,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2496,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1449,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2706,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2017,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1879,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3459,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2225,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3166,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1655,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1889,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4568,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2404,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3288,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2812,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2666,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3052,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3117,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2015,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1887,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1969,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
25712,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
46671,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2323,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1899,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
13672,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4055,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2740,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
5414,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3037,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
8763,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2456,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1818,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2331,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4060,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
5364,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1501,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3244,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2140,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3159,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3241,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2618,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1804,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1600,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1807,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1958,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1986,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2578,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2155,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1630,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1899,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2271,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3061,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2085,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2250,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1606,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3163,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1645,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
4257,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2510,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1839,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2267,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1997,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1508,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2758,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
2753,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3467,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3363,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
9331,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1742,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
3801,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
1931,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60eefc637c43864099be023a,"10/13/2022, 15:22:08"
