RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1215,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1193,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
5831,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3914,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
5200,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3541,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
14529,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
4526,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
8345,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2245,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3305,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3841,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2205,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2303,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1845,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1584,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2504,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1656,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3367,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3444,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1733,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1626,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2497,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1571,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1744,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2810,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
5046,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
6525,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2448,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3878,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3971,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2386,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
4447,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2369,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1654,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2418,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2928,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1733,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2546,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1841,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1684,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1538,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2113,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1479,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3770,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1864,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2155,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1501,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2639,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2648,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2450,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2247,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1381,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1350,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1610,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1784,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1539,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1792,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1506,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2187,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1536,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2912,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3438,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2825,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1521,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1891,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1848,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1548,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1217,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1571,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1368,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1488,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1521,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1191,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1512,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1085,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2407,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2819,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2561,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1781,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2253,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1457,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1848,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1845,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
2035,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1656,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
1852,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
3018,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58d3c463bfaa440001d1f3a8,"10/13/2022, 14:11:46"
