RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2278,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3199,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2264,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1950,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
3302,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2469,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2336,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2518,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1791,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1479,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1581,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1994,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2207,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2046,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
4417,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2383,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2035,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
6916,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
4411,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1932,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
13697,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2310,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
1855,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
2319,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f5a2b731bd09e0916838391,"10/13/2022, 14:10:35"
