RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3653,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1975,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2684,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
5071,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2013,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2547,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1856,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3130,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2992,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3568,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2499,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1437,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1552,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3919,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2431,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3723,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1964,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2738,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2254,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2923,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
4832,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
4502,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2985,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2196,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3425,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
4392,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2187,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3474,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2056,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2288,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3518,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2076,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2649,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3634,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2699,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3539,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2154,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2844,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1767,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1757,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2386,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3917,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2638,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2081,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
5845,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
4005,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1759,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1957,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1740,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2058,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1609,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1754,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3375,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2173,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1655,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3948,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2038,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1765,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
4427,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3714,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2950,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2561,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2954,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2250,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3197,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2816,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2833,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2309,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3235,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2360,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1648,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3066,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3199,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2248,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2041,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2474,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2536,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1923,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2251,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1852,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1718,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1952,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2110,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1957,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2063,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1962,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2527,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
4982,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3830,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3300,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3963,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2464,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1747,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1946,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2396,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1998,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2932,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1888,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2254,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3109,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
4681,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1775,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1630,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3681,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
5500,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3393,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
8813,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1947,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
4581,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2302,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2082,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2480,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
4951,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
13778,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
7959,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3062,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2537,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1722,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1549,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2928,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2319,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2176,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2295,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1987,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2771,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2065,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
1700,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2954,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
2291,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
3147,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b4907b74e0d9625721daf7,"10/13/2022, 14:12:18"
