RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
4725,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2139,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2201,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
4231,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2277,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3567,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
5095,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2888,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2531,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1721,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2416,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
5498,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3094,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
5772,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1982,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2668,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
6338,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2227,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2063,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2767,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3576,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
11270,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1889,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2367,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2271,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3443,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3806,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2474,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2285,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3216,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
5283,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3059,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1884,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2775,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
4180,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2321,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2659,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
6508,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3190,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
8291,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3680,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2829,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2510,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3711,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2174,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
9005,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
10086,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1627,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1542,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2399,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2244,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1694,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2511,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1822,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2375,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2534,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1934,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2798,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2616,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2088,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3853,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2116,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
5295,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
5065,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1857,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1271,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1591,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1826,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2886,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3086,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2501,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1750,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2647,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1838,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1932,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3604,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3759,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2326,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2982,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1846,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1722,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2230,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
5382,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
5235,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
4335,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2206,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1679,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
6184,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2423,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1591,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1968,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2616,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2781,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1476,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3522,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3157,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2358,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2782,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
5967,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
8840,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
6027,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2710,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1543,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3155,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1390,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2350,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1999,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1869,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1998,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1813,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1692,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2104,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1885,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2457,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2380,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2799,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
4879,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
6145,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1888,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3446,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
3074,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
13973,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2308,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2180,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
10655,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
9923,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1586,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2326,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2652,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
2924,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
1752,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d60ba4fd799e149121b85b,"10/13/2022, 14:41:18"
