RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3355,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2168,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
5902,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2061,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2954,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3272,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2093,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2044,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3918,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
7167,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2159,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2511,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1911,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1987,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2170,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2116,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3211,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2430,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2568,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3094,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2495,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2359,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1813,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2109,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
4045,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2023,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2118,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1907,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1734,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2844,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1807,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2530,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2236,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
4849,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1911,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2730,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2382,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2593,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2118,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1945,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3334,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2575,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
