RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2686,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2808,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2672,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3236,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2590,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2528,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2294,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2995,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2679,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2210,E_M_liam_neeson.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2517,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2772,E_F_jennifer_aniston.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
5143,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
7337,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
7756,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
6576,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
6160,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3480,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
4025,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3706,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
15306,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
6726,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3806,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
4044,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
4255,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3637,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
6544,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3455,E_M_anthony_hopkins.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3074,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2063,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3481,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
10165,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2277,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2240,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2058,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
