RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
5212,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3661,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
27215,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
23852,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
25110,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3514,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2216,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2360,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2513,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2963,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2705,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1696,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2925,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2848,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2667,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1991,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1952,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2353,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2958,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2228,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1978,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3563,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1747,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3598,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1504,P_F_esther_mcvey.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2623,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1870,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1954,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3293,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2918,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1736,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2795,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2411,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1787,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2838,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2483,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1934,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
10849,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2267,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2804,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2687,E_F_Judi_Dench.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3258,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1831,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
1923,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2078,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3614,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2862,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2075,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2049,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2261,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2565,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
2644,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
3498,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
13864,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
129065,P_F_PRITI_PATEL.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
23102,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612f40f65d566460c8d5217d,"11/30/2021, 07:58:11"
