RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4044,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
44393,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
6476,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
22259,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
9996,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
59538,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3752,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
9894,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4550,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4009,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
6139,E_M_anthony_hopkins.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
7912,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
10240,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
14548,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
7590,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
18439,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
11330,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
8662,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
8912,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4999,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
127882,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5533,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3789,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
8838,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
14051,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
45320,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3029,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
2864,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
2449,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
