RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
1864,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3336,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3067,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3501,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2422,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
5118,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
4199,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2827,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
7965,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
11200,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3776,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3780,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
5118,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
