RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3989,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3844,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2256,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2862,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3125,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2830,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2508,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2891,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3521,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2775,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2759,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3883,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3319,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2798,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3226,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3127,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2451,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2708,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2827,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2614,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2841,P_F_esther_mcvey.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
4246,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2568,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3257,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3626,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3197,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2983,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2835,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
5226,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3129,P_F_angela_rayner.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2703,P_F_nicola_sturgeon.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2900,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3517,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3246,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2930,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2459,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2583,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2839,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3731,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2766,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3037,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
4612,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3062,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
4212,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2910,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
