RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2565,E_M_Martin_Freeman.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3263,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2402,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2621,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3332,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
11194,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4302,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2387,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4062,P_F_nicola_sturgeon.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2399,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2505,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2475,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4432,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2743,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3915,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2650,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2279,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2277,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2209,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2228,E_F_keira_knightley.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2327,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2390,E_F_jennifer_aniston.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2391,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4309,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2257,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
7800,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4077,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
6047,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2606,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
5785,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3065,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
7667,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4125,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3259,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2951,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3152,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2771,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3035,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2737,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2711,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2618,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2228,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2594,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2520,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
