RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2116,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2763,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2151,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2056,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3643,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2982,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2601,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3276,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2568,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
3196,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2844,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2258,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
1943,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2385,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
2071,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d1a01b9f9ab2100019e7678,"11/30/2021, 06:59:13"
