RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
2854,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4500,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5941,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3585,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
15639,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
10039,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
10938,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3220,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3551,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
16701,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4321,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3105,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
10574,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3788,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3933,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
8827,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4704,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
8598,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
13792,E_M_Martin_Freeman.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
10214,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3991,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
12114,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
26272,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
13400,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3926,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
5140,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
9485,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
15267,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
