RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1584,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1914,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1276,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1212,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
4804,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1939,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1773,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1178,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1076,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1592,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1009,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2727,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1430,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2664,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
3963,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2762,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
