RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2739,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3650,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
file,isFamiliar,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_angelina_jolie.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_donald_trump.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_sandra_bullock.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_F_tehresy_may.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_F_nicola_sturgeon.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_M_nicolas_cage.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_george_Wbush.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_Kate_Winslet.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_jennifer_aniston.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_M_Hugh_Grant.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_Judi_Dench.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_M_michael_caine.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_bill_clinton.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_boris_johnson.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_Tony_Blair.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_M_tom_hankes.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_keira_knightley.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_david_cameron.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_M_robert_de_niro.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_F_hillary_clinton.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
file,imageryAns,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_M_tom_hankes.jpg,2,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_F_tehresy_may.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_Kate_Winslet.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_M_nicolas_cage.jpg,3,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_Tony_Blair.jpg,2,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_M_robert_de_niro.jpg,2,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_angelina_jolie.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_M_michael_caine.jpg,3,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_F_nicola_sturgeon.jpg,2,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_keira_knightley.jpg,2,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_boris_johnson.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_M_Hugh_Grant.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_bill_clinton.jpg,3,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_jennifer_aniston.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_george_Wbush.jpg,2,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_F_hillary_clinton.jpg,2,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_david_cameron.jpg,2,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_Judi_Dench.jpg,2,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
E_F_sandra_bullock.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
P_M_donald_trump.jpg,1,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
age: 30,gender: Female,handedness: right,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
