RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
15429,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
8300,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3776,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2048,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3333,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1842,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
4577,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3206,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2628,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
10917,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
13190,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2745,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2548,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2997,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2049,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
6473,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2574,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3312,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2061,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2253,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2005,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
7037,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3297,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2447,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
7177,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
5598,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2033,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1772,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
5941,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2031,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2749,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2099,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2989,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1936,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2207,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3628,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2501,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
4189,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
4250,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
22223,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3478,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2003,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2009,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2578,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2008,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2616,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2272,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
6144,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
4121,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3945,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2237,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2935,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2097,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2865,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3752,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2148,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2115,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1825,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2061,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1904,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3609,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2032,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2673,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
7035,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1852,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1906,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1917,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2048,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2338,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3110,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3657,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3355,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2193,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2858,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2353,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2348,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2845,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3694,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2610,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2571,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3292,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3785,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2228,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2201,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2017,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2920,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2673,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
4227,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3279,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3241,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2206,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1938,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
7513,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2193,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2641,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2098,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2816,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2356,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1791,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2422,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2170,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1858,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2279,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2089,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2513,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2681,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2341,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1819,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
7438,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3579,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
4670,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3251,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
5056,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1953,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2984,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2546,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3864,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
4064,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
3011,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2499,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2835,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
1803,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
6218,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2208,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
8887,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
2287,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6347200d8ded5172ec43e0bb,"11/02/2022, 16:13:59"
