RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
4103,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1841,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2802,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
5905,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
5064,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
4834,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2782,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2692,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2831,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2463,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
