RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2502,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4344,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2444,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2952,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2380,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3630,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2116,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3956,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2528,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2092,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4093,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2301,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3102,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2576,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2923,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3078,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4542,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2310,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4211,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
1938,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3258,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2219,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3167,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4816,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2552,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2693,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3062,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3336,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2205,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2960,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2178,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3310,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2783,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2390,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2000,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2290,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2606,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2224,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2852,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2316,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
1970,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2672,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
1854,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
4050,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2129,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2253,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3282,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2273,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2200,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
3562,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
