RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2389,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2388,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2438,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1778,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3136,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2162,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1909,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2014,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2451,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2484,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2067,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3215,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2040,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2092,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2643,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3133,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3908,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2353,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
4339,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
6097,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2120,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2308,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1814,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3962,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2753,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1899,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2349,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2179,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1940,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2338,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2004,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1539,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2116,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1757,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2735,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1955,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1754,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2261,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2098,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
4451,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2352,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3123,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1917,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2236,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2244,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1704,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2414,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1754,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2129,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3203,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1446,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
4518,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1950,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3107,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1774,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
4210,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3129,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1743,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1978,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1593,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1983,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1715,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3864,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3079,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2847,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3176,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2567,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1964,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2003,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2147,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1832,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2233,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
4420,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2795,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1807,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1904,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3077,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1721,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1586,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2125,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1508,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2292,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2521,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2025,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3449,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2191,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3352,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1791,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1551,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2733,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1438,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2712,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2803,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2360,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1938,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1624,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2401,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2532,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1712,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2001,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1612,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2293,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2302,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1948,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2056,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
3046,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1449,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1712,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
1634,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
2262,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c4f7b99b33a5300013dbfdd,"11/02/2022, 16:05:54"
