RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
5610,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4120,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
1907,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2233,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3157,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2730,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2344,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2606,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3431,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2709,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2637,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3204,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2432,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
6645,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
7108,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3067,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
1639,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2931,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4334,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2933,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3386,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3259,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2756,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2571,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
1984,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2781,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2771,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2320,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3994,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3096,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3134,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2922,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2549,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2347,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3665,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2687,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3828,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3861,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2798,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4648,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4294,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2203,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4099,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
5639,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2091,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3394,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2124,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3368,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2903,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
5450,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3647,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2500,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2270,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4236,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2273,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2703,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3750,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3015,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2281,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2542,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4341,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2050,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2922,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2000,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2162,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
1799,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2809,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2848,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3346,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2109,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2789,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
