RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1401,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2291,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4654,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2079,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3239,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2429,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4010,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1756,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3195,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1789,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1839,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2096,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3790,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1910,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1929,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1621,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
5001,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2052,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
5240,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1542,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1750,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
7741,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2341,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2885,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3587,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1589,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1473,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1363,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1384,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1459,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2276,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2515,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2014,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
5026,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2501,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2156,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4193,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2642,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2961,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2107,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
6062,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1336,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1116,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1288,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2649,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2280,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2292,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3058,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1787,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2429,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2358,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3550,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1707,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2523,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
5598,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2416,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2233,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2722,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2393,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2630,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2846,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2656,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
26229,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3604,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1878,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1968,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1394,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3297,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4429,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2158,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1313,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2649,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2930,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1803,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2827,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2069,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1654,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2159,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
8680,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1303,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4462,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2383,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1564,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2314,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2123,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1508,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2056,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1395,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1350,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1632,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
6443,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2610,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1730,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1965,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1496,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1610,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4272,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1429,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1446,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4834,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1453,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2677,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2478,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2781,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1640,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3694,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2855,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1856,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
7019,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1688,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
