RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_bill_clinton.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_Judi_Dench.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_M_Hugh_Grant.jpg,1,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
file,imageryAns,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_Judi_Dench.jpg,3,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_M_robert_de_niro.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_M_nicolas_cage.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_bill_clinton.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_Tony_Blair.jpg,4,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_M_Hugh_Grant.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_F_tehresy_may.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_F_hillary_clinton.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_keira_knightley.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_boris_johnson.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_angelina_jolie.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_donald_trump.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_Kate_Winslet.jpg,3,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_david_cameron.jpg,3,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_M_george_Wbush.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
P_F_nicola_sturgeon.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_M_tom_hankes.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_sandra_bullock.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_M_michael_caine.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
E_F_jennifer_aniston.jpg,2,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
age: 33,gender: Female,handedness: right,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
