RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3846,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1936,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2127,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1642,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2176,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1816,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2216,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1631,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2155,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1405,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
