RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1685,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1735,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1659,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1724,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1330,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2501,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1914,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1910,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1422,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1326,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2577,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1747,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2862,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1282,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2057,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1667,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1736,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1802,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2995,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2199,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3555,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1682,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1484,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1283,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1407,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1843,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1890,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2597,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2921,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2236,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2955,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2145,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2723,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3172,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2441,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1582,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1498,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1296,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1637,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2154,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2270,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
4205,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3122,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3358,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2840,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
6608,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1681,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2149,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2392,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1889,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1340,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1138,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1101,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1841,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1103,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1099,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2488,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1383,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3206,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1235,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1280,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1668,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1338,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
920,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2520,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2168,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1297,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1337,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1658,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
972,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1205,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1356,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1135,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
925,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1370,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2566,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1650,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1781,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1967,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1001,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1103,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3218,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2531,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1522,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1567,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1538,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1743,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1532,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1949,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1928,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
4391,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1484,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1963,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
5595,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
5879,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
5271,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2526,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1870,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1857,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2056,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1834,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1740,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3503,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1398,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1504,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1272,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1852,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1485,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1416,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2088,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
