RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3876,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2238,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4694,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
5421,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
8487,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
1633,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2362,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3030,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
1832,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
9602,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2063,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3699,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
8334,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4006,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
