RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4148,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4464,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2082,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3200,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3462,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3276,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2166,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2932,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1596,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2197,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2461,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1662,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2052,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2888,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3405,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3071,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1786,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1788,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1907,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3345,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2096,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2194,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1856,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1598,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4103,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2174,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3123,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
5841,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3043,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2374,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3386,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2565,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2751,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
6405,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2351,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2589,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3398,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1859,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2569,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2179,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1901,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1884,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4779,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2152,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2803,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3880,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2522,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2035,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3535,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3331,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1912,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1540,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1646,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1720,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1793,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4043,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2541,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2587,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
7108,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2936,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3265,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2464,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2446,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2702,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3196,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1988,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2537,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1646,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3003,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2202,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4178,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1769,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3148,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
8250,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
11228,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
1765,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3967,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
4594,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2197,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
3141,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2271,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2831,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2460,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
2131,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcd709227fabfc6ca7a969e,"11/02/2022, 16:08:52"
