"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
4135,"E_F_Kate_Winslet.png","P_M_george_Wbush.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_Kate_Winslet.png P_M_george_Wbush.png",0.359724757552318,"27","Female","right",0,1,FALSE
12831,"E_M_michael_caine.png","P_F_tehresy_may.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","5","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_michael_caine.png P_F_tehresy_may.png",-1.09448170914854,"27","Female","right",0,0,FALSE
15215,"P_M_bill_clinton.png","P_M_david_cameron.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","5","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_M_bill_clinton.png P_M_david_cameron.png",-1.09448170914854,"27","Female","right",0,0,FALSE
5543,"P_F_nicola_sturgeon.png","P_M_david_cameron.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_F_nicola_sturgeon.png P_M_david_cameron.png",0.359724757552318,"27","Female","right",1,0,FALSE
4326,"E_M_tom_hankes.png","P_M_george_Wbush.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_tom_hankes.png P_M_george_Wbush.png",0.359724757552318,"27","Female","right",0,1,FALSE
4286,"E_F_keira_knightley.png","E_M_michael_caine.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_keira_knightley.png E_M_michael_caine.png",0.359724757552318,"27","Female","right",1,0,FALSE
6079,"E_M_robert_de_niro.png","P_M_boris_johnson.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_robert_de_niro.png P_M_boris_johnson.png",0.359724757552318,"27","Female","right",1,0,FALSE
4133,"E_F_keira_knightley.png","E_M_nicolas_cage.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_keira_knightley.png E_M_nicolas_cage.png",0.359724757552318,"27","Female","right",1,0,FALSE
4663,"P_M_boris_johnson.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_M_boris_johnson.png P_M_Tony_Blair.png",0.359724757552318,"27","Female","right",0,0,FALSE
3559,"E_F_Judi_Dench.png","E_F_keira_knightley.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_Judi_Dench.png E_F_keira_knightley.png",0.359724757552318,"27","Female","right",1,1,FALSE
3726,"P_F_hillary_clinton.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_F_hillary_clinton.png P_M_Tony_Blair.png",0.359724757552318,"27","Female","right",0,0,FALSE
4271,"E_F_sandra_bullock.png","E_M_nicolas_cage.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_sandra_bullock.png E_M_nicolas_cage.png",0.359724757552318,"27","Female","right",1,0,FALSE
