"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
3327,"P_M_donald_trump.jpg","P_M_Tony_Blair.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","1","12345","P_M_donald_trump.jpg P_M_Tony_Blair.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1551,"E_F_Kate_Winslet.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_Kate_Winslet.jpg P_M_donald_trump.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3187,"E_M_robert_de_niro.jpg","E_M_tom_hankes.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","6","1","12345","E_M_robert_de_niro.jpg E_M_tom_hankes.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2031,"E_M_michael_caine.jpg","E_M_nicolas_cage.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","6","1","12345","E_M_michael_caine.jpg E_M_nicolas_cage.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
4671,"P_M_bill_clinton.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","1","12345","P_M_bill_clinton.jpg P_M_donald_trump.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2679,"E_M_michael_caine.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","4","1","12345","E_M_michael_caine.jpg P_M_donald_trump.jpg",-1.78622559405316,"33","Female","right",1,1,FALSE
1655,"P_F_nicola_sturgeon.jpg","P_M_david_cameron.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","1","12345","P_F_nicola_sturgeon.jpg P_M_david_cameron.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1671,"E_F_Judi_Dench.jpg","P_F_nicola_sturgeon.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","1","12345","E_F_Judi_Dench.jpg P_F_nicola_sturgeon.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1482,"E_F_Judi_Dench.jpg","E_M_robert_de_niro.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_Judi_Dench.jpg E_M_robert_de_niro.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3489,"E_M_robert_de_niro.jpg","P_F_nicola_sturgeon.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","3","1","12345","E_M_robert_de_niro.jpg P_F_nicola_sturgeon.jpg",-2.92892883604003,"33","Female","right",1,1,FALSE
1901,"E_F_sandra_bullock.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_sandra_bullock.jpg P_M_boris_johnson.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1726,"E_F_Judi_Dench.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_Judi_Dench.jpg P_M_boris_johnson.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1790,"E_F_jennifer_aniston.jpg","E_M_robert_de_niro.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_jennifer_aniston.jpg E_M_robert_de_niro.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1864,"E_F_Kate_Winslet.jpg","E_F_sandra_bullock.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","1","12345","E_F_Kate_Winslet.jpg E_F_sandra_bullock.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1519,"E_F_sandra_bullock.jpg","P_M_Tony_Blair.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_sandra_bullock.jpg P_M_Tony_Blair.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2311,"E_F_keira_knightley.jpg","E_M_nicolas_cage.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_keira_knightley.jpg E_M_nicolas_cage.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1526,"E_F_sandra_bullock.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","1","12345","E_F_sandra_bullock.jpg P_F_hillary_clinton.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1407,"E_F_jennifer_aniston.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_jennifer_aniston.jpg P_M_donald_trump.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
1336,"P_M_david_cameron.jpg","P_M_Tony_Blair.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","1","12345","P_M_david_cameron.jpg P_M_Tony_Blair.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3142,"E_M_tom_hankes.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5","1","12345","E_M_tom_hankes.jpg P_M_bill_clinton.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
2335,"E_M_michael_caine.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5","1","12345","E_M_michael_caine.jpg P_M_bill_clinton.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
2527,"E_F_jennifer_aniston.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_jennifer_aniston.jpg E_M_michael_caine.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3191,"P_F_hillary_clinton.jpg","P_M_boris_johnson.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","5","1","12345","P_F_hillary_clinton.jpg P_M_boris_johnson.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
3855,"E_M_nicolas_cage.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","1","12345","E_M_nicolas_cage.jpg P_M_bill_clinton.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
4374,"E_F_Kate_Winslet.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","1","12345","E_F_Kate_Winslet.jpg P_M_david_cameron.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
1647,"E_F_Kate_Winslet.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_Kate_Winslet.jpg E_M_michael_caine.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2319,"E_F_jennifer_aniston.jpg","E_F_keira_knightley.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","1","12345","E_F_jennifer_aniston.jpg E_F_keira_knightley.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
2623,"E_M_tom_hankes.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","4","1","12345","E_M_tom_hankes.jpg P_M_donald_trump.jpg",-1.78622559405316,"33","Female","right",1,1,FALSE
2174,"E_F_keira_knightley.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","1","12345","E_F_keira_knightley.jpg P_M_bill_clinton.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
4796,"E_F_sandra_bullock.jpg","E_M_tom_hankes.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","1","12345","E_F_sandra_bullock.jpg E_M_tom_hankes.jpg",0.499180889920579,"33","Female","right",1,1,FALSE
3065,"E_F_sandra_bullock.jpg","P_F_nicola_sturgeon.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","3","1","12345","E_F_sandra_bullock.jpg P_F_nicola_sturgeon.jpg",-2.92892883604003,"33","Female","right",1,1,FALSE
2073,"E_F_jennifer_aniston.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","1","12345","E_F_jennifer_aniston.jpg P_M_david_cameron.jpg",-0.643522352066289,"33","Female","right",1,1,FALSE
