"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","condition","pair"
4224,"E_M_Martin_Freeman.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","3","57e508cec3e5930001447391","11/30/2021, 18:24:29",-1.25219605178566,"36","Female","right",1,1,0,0,FALSE,"semantic_pics","E_M_Martin_Freeman.jpg P_M_bill_clinton.jpg"
5629,"E_F_keira_knightley.jpg","P_F_PRITI_PATEL.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","3","57e508cec3e5930001447391","11/30/2021, 18:24:29",-1.25219605178566,"36","Female","right",1,0,0,0,TRUE,"semantic_pics","E_F_keira_knightley.jpg P_F_PRITI_PATEL.jpg"
3956,"E_M_liam_neeson.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","3","57e508cec3e5930001447391","11/30/2021, 18:24:29",-1.25219605178566,"36","Female","right",1,1,0,0,FALSE,"semantic_pics","E_M_liam_neeson.jpg P_M_george_Wbush.jpg"
2854,"E_M_robert_de_niro.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","4","57e508cec3e5930001447391","11/30/2021, 18:24:29",-0.475547737223943,"36","Female","right",1,1,0,0,FALSE,"semantic_pics","E_M_robert_de_niro.jpg P_M_bill_clinton.jpg"
3414,"E_M_tom_hankes.jpg","P_F_esther_mcvey.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","4","57e508cec3e5930001447391","11/30/2021, 18:24:29",-0.475547737223943,"36","Female","right",1,0,0,0,TRUE,"semantic_pics","E_M_tom_hankes.jpg P_F_esther_mcvey.jpg"
3855,"E_F_sandra_bullock.jpg","E_M_liam_neeson.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","57e508cec3e5930001447391","11/30/2021, 18:24:29",1.07774889189949,"36","Female","right",1,1,0,0,FALSE,"semantic_pics","E_F_sandra_bullock.jpg E_M_liam_neeson.jpg"
3246,"E_F_keira_knightley.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","57e508cec3e5930001447391","11/30/2021, 18:24:29",1.07774889189949,"36","Female","right",1,1,0,0,FALSE,"semantic_pics","E_F_keira_knightley.jpg E_M_michael_caine.jpg"
3144,"P_F_tehresy_may.jpg","P_M_boris_johnson.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","5","57e508cec3e5930001447391","11/30/2021, 18:24:29",0.301100577337773,"36","Female","right",1,1,0,0,FALSE,"semantic_pics","P_F_tehresy_may.jpg P_M_boris_johnson.jpg"
2763,"E_F_keira_knightley.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","57e508cec3e5930001447391","11/30/2021, 18:24:29",1.07774889189949,"36","Female","right",1,1,0,0,FALSE,"semantic_pics","E_F_keira_knightley.jpg P_M_george_Wbush.jpg"
2194,"E_F_keira_knightley.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","57e508cec3e5930001447391","11/30/2021, 18:24:29",1.07774889189949,"36","Female","right",1,1,0,0,FALSE,"semantic_pics","E_F_keira_knightley.jpg P_M_boris_johnson.jpg"
