RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4217,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
5027,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
16832,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
2715,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
5091,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
26510,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
31795,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
file,isFamiliar,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_shaniCo.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
P_yehimovitz.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
P_benet.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_alfi.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_ivri.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_harLev.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_tavori.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
P_smootchi.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
P_zamir.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
P_liberman.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
P_peretz.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_ornaBanai.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_yanai.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
P_michaeli.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_rita.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_shaharHasson.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_katorza.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
P_shaked.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
E_moniMo.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
P_lapid.jpg,1,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
age: 24,gender: F,handedness: right,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
