RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2002,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1506,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2968,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1712,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1524,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1472,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1406,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2183,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2288,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2094,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1853,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1703,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
3218,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
3473,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2075,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2540,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1878,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1684,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1644,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1633,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1789,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1692,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1233,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1433,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1383,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1196,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1510,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2497,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
4425,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1361,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1614,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1972,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1684,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1414,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
5080,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1754,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1114,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1052,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
3972,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1764,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2455,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2408,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1785,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2614,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2109,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2075,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2214,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2436,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1950,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2405,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
3606,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2373,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
5844,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2418,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2485,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2668,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
3005,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1830,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
3630,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
