RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3820,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3987,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3786,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3643,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3378,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3096,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3464,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2844,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4178,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3577,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3754,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3858,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4736,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
6228,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
6098,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2877,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3991,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
