RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3110,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5849,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2435,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2404,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2818,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3576,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3168,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4038,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3939,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2361,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4340,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2560,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3004,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2856,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3135,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4611,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2881,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3007,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2570,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2620,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2293,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2971,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4235,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2485,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
