RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2454,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1364,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1774,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1821,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1569,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1278,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1546,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1760,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1642,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2887,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3183,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2060,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1684,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1432,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1248,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1906,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1632,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1398,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1435,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1277,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1451,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1362,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1438,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1506,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1630,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1474,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1649,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1360,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
