RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1358,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
4592,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
35729,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
10214,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2284,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1518,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1518,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
4087,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
4638,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1767,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1530,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1627,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2703,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1357,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1711,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
8277,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2086,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1304,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
file,isFamiliar,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_harLev.jpg,0,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_shaharHasson.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
