RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3700,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2976,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3451,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3359,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3460,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3463,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3290,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3272,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2541,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2672,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3651,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3163,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3531,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2648,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5638,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2566,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2502,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2910,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3003,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3923,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3140,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3298,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3769,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3391,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3494,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
7852,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3268,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3350,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3167,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2766,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3435,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3754,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5331,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3542,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3829,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2448,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2888,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3010,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2887,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3178,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4302,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5285,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3054,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3846,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2567,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
5144,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2881,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2415,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3219,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2812,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2670,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2510,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3053,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
4062,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3544,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
3384,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
2820,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5d73e3f10f54310015089dbb,"06/17/2022, 05:34:46"
