RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3795,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3265,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2647,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3801,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
4332,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2502,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3019,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2871,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3581,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2423,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2636,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3232,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3327,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2600,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3868,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2248,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
2852,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3955,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3240,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
3831,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
file,isFamiliar,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
P_liberman.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
P_lapid.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
P_shaked.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
P_zamir.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_shaniCo.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_shaharHasson.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
P_smootchi.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_tavori.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_ivri.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
P_benet.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_rita.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_ornaBanai.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_yanai.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_moniMo.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_alfi.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_katorza.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
P_yehimovitz.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
E_harLev.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
P_peretz.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
P_michaeli.jpg,1,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
age: 31,gender: F,handedness: left,5e3d83525c97c402748149fe,"06/17/2022, 11:05:06"
