RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2172,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2271,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1974,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1214,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1302,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1430,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1766,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
90428,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1494,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1315,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1199,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2461,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1668,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
3516,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1581,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2838,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1398,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2812,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1685,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1773,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1582,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1662,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2061,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1270,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1293,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1718,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1485,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1027,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1045,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1260,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1861,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2663,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2486,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2110,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1069,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1471,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1622,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1133,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1302,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1702,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1154,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1501,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1286,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1022,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1021,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
974,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1739,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1494,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1173,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
6244,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
3309,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1110,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1187,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2652,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1198,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1668,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1559,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1197,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1062,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1029,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1278,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2293,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2741,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1820,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1125,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1057,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1014,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1861,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1108,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1062,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
3005,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1110,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1781,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1924,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
5266,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1325,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1149,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1030,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
941,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
973,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1470,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1085,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1100,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1046,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
982,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1165,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1077,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2012,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1078,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1045,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1305,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1125,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
974,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1021,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1085,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1054,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1107,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1083,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1101,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1498,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2508,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1092,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1246,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1014,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1086,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1123,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1140,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1079,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1124,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1077,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1102,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1494,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1238,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1356,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1261,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1043,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
2314,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1125,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1244,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1116,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1492,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1133,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1162,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1150,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1518,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1293,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1217,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1341,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1428,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
1125,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60ee7a3143a8c81907c8fd11,"06/16/2022, 21:50:30"
