RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3201,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2148,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
11850,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3618,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
6978,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4116,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2560,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
7698,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4820,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
22530,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3348,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
5956,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2922,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2416,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
5489,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3118,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2751,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2251,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2690,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3239,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2866,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2092,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
1729,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2259,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2154,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
1749,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
1769,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2208,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2361,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2198,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2859,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4044,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2509,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2370,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2344,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3388,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2325,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3735,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3074,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3397,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3833,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2556,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2085,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2196,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
8420,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
77311,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2798,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
4753,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2695,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3169,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
1745,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
3666,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2205,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2669,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
1909,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2233,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2817,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
2201,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6068a8973da6db3710d57b12,"06/15/2022, 09:52:48"
