RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
9110,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3172,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
8101,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5026,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3399,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
6069,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3459,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4379,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4317,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4792,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4226,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
7751,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
6977,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
7754,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5096,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
2933,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3565,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3316,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3744,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3344,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
2718,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4752,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
2974,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3197,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3676,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
4848,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
2672,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
2598,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
2985,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
5196,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3324,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
8577,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
3987,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6107996c58bac102d78e5cf9,"06/16/2022, 14:32:16"
