RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4615,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4552,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
6431,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5823,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5635,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5185,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4615,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
7538,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3471,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2771,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4100,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3271,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
8576,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
7974,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5111,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4859,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4586,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
58639,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2457,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
195893,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
31853,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
18104,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3086,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4761,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5182,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3294,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4419,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3133,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3240,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4989,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4703,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
8640,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
1783,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5721,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4157,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
7623,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4298,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5752,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
1871,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
32525,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4685,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2096,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4057,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5614,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2069,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3131,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
1996,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
5876,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3207,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
1917,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4014,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2464,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
1664,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2549,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3239,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2180,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4905,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
6105,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
4553,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
177738,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
2948,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
6342,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
33564,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
3592,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5fcff8bbfe9f8201df523dda,"08/07/2022, 16:38:45"
