RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5296,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3845,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5613,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3862,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4016,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5751,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4134,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4206,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3532,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
8810,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2850,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2741,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3874,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6722,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2401,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4223,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3911,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
8468,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4873,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4021,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3891,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3196,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2867,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3751,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3498,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
7206,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3609,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4803,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
6558,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3836,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2930,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3691,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4653,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3754,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
2850,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
3299,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4079,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
5072,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
4597,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
7000,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,60fcfe6c406b495988d835f2,"06/16/2022, 17:39:26"
