RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1997,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2452,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2945,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1343,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2005,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1810,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2444,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2870,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2697,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
4244,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2233,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2310,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2599,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2118,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
