RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4108,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3505,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2717,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2828,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1788,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4816,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2305,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2270,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2487,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3930,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1646,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
9528,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3273,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2356,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1763,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1678,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3111,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2687,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,1,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2028,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3000,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2862,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
5504,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1801,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4829,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3044,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1879,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1635,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
7556,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2276,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
11688,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2982,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
9473,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2010,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
6073,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4518,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
4072,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3309,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
3722,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
2241,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
6155,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1878,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1755,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1936,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
1930,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5c1550c32b16ba0001c95536,"06/17/2022, 07:05:14"
