RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4499,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3759,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2797,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1925,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4338,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2598,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3752,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3717,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4391,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2630,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3305,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1913,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2458,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2466,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3304,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2104,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2985,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2567,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2490,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2047,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3216,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1911,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2028,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2398,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3722,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2816,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3397,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2782,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2871,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1910,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4427,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3649,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3250,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2112,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3144,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3446,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2722,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2544,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2763,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4304,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2795,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2731,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2816,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4116,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2470,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2660,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3299,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2345,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2872,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2042,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2547,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2916,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3603,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2198,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4978,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2131,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2598,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2913,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2211,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1928,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
5484,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2235,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3219,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2129,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3261,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3809,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
4176,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1925,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1643,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1665,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
9727,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3105,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1946,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1609,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1411,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3295,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2857,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2014,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1795,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2462,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2587,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1642,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1859,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2546,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2751,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
5974,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
2531,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
1861,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
3488,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6102ef0e02eefcbe5a7aa08d,"06/16/2022, 19:54:43"
