RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
5804,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1491,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2589,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
4825,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,5,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1869,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1721,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3397,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1707,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2126,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2142,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1839,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1892,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3198,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2199,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1565,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1367,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1534,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1677,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
6787,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2357,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1881,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2139,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
