RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2358,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1934,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1885,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3145,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2506,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1891,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1617,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2825,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1812,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2276,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1893,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1703,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1694,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2202,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1652,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1794,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2161,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2000,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3109,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2366,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1706,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1690,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1956,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1514,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1427,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2460,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1723,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1867,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2603,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3542,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1632,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1483,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1800,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2281,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2135,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2742,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1990,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2333,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2970,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1721,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1571,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1669,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1447,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3232,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1756,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2046,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3661,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1774,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2703,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1856,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1786,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2919,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1818,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
4148,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2241,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2335,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1743,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1712,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1812,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2032,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1752,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2431,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2378,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1978,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1963,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2093,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2129,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1657,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1893,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1722,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1628,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1672,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2127,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1709,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1515,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2727,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2471,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2238,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2216,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1805,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1652,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1703,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2129,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2487,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1796,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1772,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2254,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1764,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2385,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2017,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3445,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1902,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2090,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1752,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1632,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3545,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
3579,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1998,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1580,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1610,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2962,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1748,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2636,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2536,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1915,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1595,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2284,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1617,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
2692,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1948,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1809,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1657,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1666,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1852,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1752,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1589,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
1662,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f75e15c14255d2a88ee281e,"06/17/2022, 00:50:07"
