RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
3219,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2475,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2623,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2849,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2555,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2793,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2158,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2135,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2015,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
2179,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,616f337c287cb7972c92cacb,"04/26/2022, 07:18:30"
