RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2971,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3121,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
20537,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
7809,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
7131,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
24024,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
13953,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
43174,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2797,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4629,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2636,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2402,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
50161,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2468,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2421,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4425,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3924,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3558,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3364,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3405,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
62945,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4592,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3120,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1879,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2206,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3178,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1520,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1506,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1859,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2525,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2510,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2207,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2235,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1847,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2974,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2325,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2234,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5421,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
51000,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
25651,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2020,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
6698,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
22780,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2476,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4776,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1973,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2089,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1719,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2187,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2140,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2130,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4951,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2829,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4194,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3252,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5621,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3725,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
13977,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
39316,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2406,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5308,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
7914,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1572,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2374,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
11577,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
7062,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
40160,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
59563,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1884,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1734,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1574,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2364,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2013,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2310,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3093,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3124,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3511,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2137,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4581,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4004,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
7065,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2167,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1545,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2372,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1973,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5717,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3916,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3205,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1919,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1597,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3241,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1562,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4940,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2589,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2581,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2414,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3175,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2030,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2106,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
4116,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
8399,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
6408,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
9731,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
5672,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2437,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
59076,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2885,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
3528,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
45499,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
1486,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
6405,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
2396,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,574b5c065bef98000eaf8bc3,"04/26/2022, 07:40:52"
