RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2260,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2422,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2407,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2424,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3515,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2194,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2675,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
1767,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
1539,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2373,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2420,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2557,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2361,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2677,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2749,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2639,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
1982,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
8756,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2485,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
