RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3529,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3028,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
5896,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3945,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2946,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4166,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3929,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
7129,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2629,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6462,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6445,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3016,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3695,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5be018521142ce000192472b,"04/26/2022, 07:40:24"
8580,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
6679,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3161,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3429,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
2795,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3429,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5be018521142ce000192472b,"04/26/2022, 07:40:24"
3480,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5be018521142ce000192472b,"04/26/2022, 07:40:24"
4595,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5be018521142ce000192472b,"04/26/2022, 07:40:24"
